REITIR;Reitir Fasteignafélag;realestate;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2016-09-08;93,112;94,004;92,617;93,608;92,518;93,508;93,199;4162276,539640364;388030508;12;
2016-09-07;92,419;93,112;90,636;93,112;90,636;93,112;91,837;5430283,598302367;498698500;19;
2016-09-06;89,546;90,537;89,348;90,636;89,348;90,636;90,479;3105477,1259777336;280588539,8;7;
2016-09-05;89,744;90,636;90,141;90,438;89,645;90,091;90,112;2860955,8672099304;256464048,5;6;
2016-09-02;88,952;89,942;89,15;90,438;89,15;89,15;89,558;6033051,134918167;540306758,8;22;
2016-09-01;87,565;88,457;87,367;88,457;87,367;87,565;87,594;6743079,644159442;590651855,6;12;
2016-08-31;86,773;87,565;87,268;87,664;86,872;87,664;87,268;2084687,791502954;181927500;8;
2016-08-30;86,178;87,169;86,872;87,268;86,079;86,822;86,813;1850972,5850936242;160687711,4;13;
2016-08-29;85,98;86,872;86,079;86,872;86,079;86,872;86,415;779350,1831294747;67460327;4;
2016-08-26;86,376;87,07;87,268;87,268;87,268;87,268;87,268;713235,7988846667;62242650;2;
2016-08-25;86,376;86,773;86,575;86,971;86,575;86,723;86,718;2728330,3518428034;236596390;13;
2016-08-24;85,584;86,575;85,881;86,575;85,683;86,079;86,04;5323204,341803997;458010015,6;14;
2016-08-23;83,702;84,197;84,693;84,693;84,197;84,197;84,253;297650,00666292465;25077990,75;5;
2016-08-22;83,504;84,197;83,009;84,197;83,009;83,603;84,041;49079892,504815474;4051893289,4;11;
2016-08-19;83,009;83,90;83,207;83,504;83,009;83,009;83,289;3132569,9909949563;260907201,6;14;
2016-08-18;83,207;84,197;82,91;83,801;82,612;83,801;83,345;5261261,352210274;438110743,8;7;
2016-08-17;82,711;83,009;82,315;83,009;81,721;82,91;82,469;5226230,521040709;430999666,4;17;
2016-08-16;82,513;83,306;82,266;82,959;82,266;82,513;82,637;4537020,6227613585;374923610,9;9;
2016-08-15;82,117;82,81;81,226;82,315;81,226;82,315;81,907;4151203,9702954707;340012200;8;
2016-08-12;80,037;81,226;80,631;80,73;80,631;80,73;80,657;1362870,9532828028;109925000;2;
