TM;Tryggingamiðstöðin;insurance;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2016-03-08;22,979;23,274;23,669;23,669;22,979;23,176;23,239;5740295,638030999;133398401,8;11;
2016-03-07;23,373;23,718;23,521;23,669;23,373;23,373;23,488;1554948,9660375216;36522550;6;
2016-03-04;23,176;23,521;22,954;23,521;22,954;23,521;23,135;9566079,500631714;221308725;13;
2016-03-03;22,831;23,077;22,683;22,979;22,683;22,831;22,96;5613654,753672154;128887748,25;10;
2016-03-02;22,633;22,88;22,535;22,683;22,535;22,683;22,679;11465136,087186653;260014203,7;6;
2016-03-01;22,535;22,781;22,535;22,535;22,535;22,535;22,535;42240,66777123643;951885,3;2;
2016-02-29;22,535;22,831;22,831;22,831;22,535;22,535;22,707;1289906,9768385104;29289527,7;10;
2016-02-26;22,683;22,88;22,831;22,831;22,683;22,683;22,753;3557949,353380531;80955363,65;6;
2016-02-25;22,584;22,831;22,535;22,979;22,535;22,781;22,775;9392339,93709225;213908231,2;16;
2016-02-24;22,436;22,633;22,436;22,485;22,436;22,436;22,475;1280751,6887952415;28785183,75;5;
2016-02-23;22,436;22,683;22,387;22,535;22,387;22,436;22,505;4025074,8829352083;90582330,75;6;
2016-02-22;22,14;22,338;22,214;22,214;22,214;22,214;22,214;1013986,9357923192;22525000;1;
2016-02-19;21,943;22,239;22,288;22,288;22,19;22,19;22,228;1647337,371705303;36616276,4;4;
2016-02-18;22,288;22,485;22,288;22,387;22,288;22,387;22,386;1026141,5971916617;22970906,2;2;
2016-02-17;22,288;22,535;22,485;22,485;22,485;22,485;22,485;2470236,441473688;55664493,6;2;
2016-02-16;22,239;22,485;22,436;22,436;22,239;22,436;22,415;7704788,857500359;172522675,75;7;
2016-02-15;22,387;22,633;22,683;22,683;22,584;22,584;22,611;4191430,5936082317;94771997;10;
2016-02-12;22,633;22,831;22,091;23,176;22,091;22,683;22,522;11543799,165691549;259991339,6;33;
2016-02-11;21,844;21,992;21,499;21,943;21,499;21,943;21,767;4498988,041038079;97930188;10;
2016-02-10;21,499;21,697;21,499;21,697;21,499;21,697;21,593;2172621,1359492843;46913413,6;6;
2016-02-09;21,401;21,549;21,499;21,524;21,401;21,401;21,474;3057837,814817594;65664778,6;7;
2016-02-08;21,006;21,302;21,351;21,351;21,154;21,154;21,258;2140642,0159682664;45505618,1;4;
2016-02-05;21,351;21,598;21,401;21,401;21,351;21,351;21,399;634790,2973618088;13584191,8;2;
2016-02-04;21,401;21,598;21,45;21,598;21,401;21,401;21,506;2663245,8127409485;57275801;4;
2016-02-03;21,45;21,647;21,45;21,499;21,45;21,499;21,483;1520980,4036884787;32675000;2;
2016-02-02;21,45;21,697;21,499;21,598;21,499;21,549;21,563;2140642,0159682664;46158396,6;4;
2016-02-01;21,154;21,401;20,809;21,302;20,612;21,302;21,016;10320039,62660945;217362377,5;16;
2016-01-29;21,154;21,302;21,203;21,203;21,203;21,203;21,203;2991261,460587342;63425000;5;
2016-01-28;20,908;21,203;20,908;21,105;20,908;21,105;21,075;614764,0553799105;12956285;3;
2016-01-27;20,908;21,105;20,957;21,105;20,908;20,908;21,013;58381,311815178575;1226770,25;4;
2016-01-26;20,957;21,203;20,908;20,908;20,908;20,908;20,908;15209,804036884788;318000;1;
2016-01-25;21,105;21,253;21,253;21,253;21,154;21,154;21,251;1027675,7594255155;21839575;2;
2016-01-22;21,154;21,302;21,105;21,401;21,105;21,105;21,216;6145774,817837247;130388700;9;
2016-01-21;20,71;20,957;20,71;21,006;20,71;20,76;20,82;3110496,1843671603;64759408,5;8;
2016-01-20;20,71;20,809;20,414;20,612;20,414;20,612;20,513;1520980,4036884787;31200000;3;
2016-01-19;20,908;21,055;21,203;21,45;20,809;20,908;21,124;3704629,6615514406;78257834,6;12;
2016-01-18;20,513;20,71;20,612;20,71;20,217;20,71;20,582;3146511,9863395677;64760645,1;15;
2016-01-15;20,71;21,006;21,351;21,351;21,006;21,006;21,177;1069756,2172608967;22654750;3;
2016-01-14;21,055;21,351;21,549;21,549;21,253;21,253;21,367;1532224,5048194797;32739522,4;7;
2016-01-13;21,647;21,943;22,14;22,14;21,992;22,042;22,066;2048253,6103004848;45197000;6;
2016-01-12;21,697;21,992;22,19;22,19;21,844;21,844;22,036;2627534,206849279;57900267;10;
2016-01-11;22,19;22,485;22,732;22,732;22,19;22,338;22,44;6818829,94019505;153015068,05;12;
2016-01-08;22,781;22,979;22,781;22,979;22,781;22,781;22,908;1893992,735797592;43388043,1;7;
2016-01-07;22,781;23,028;23,028;23,028;22,979;22,979;23,018;628671,9001912379;14471000;3;
2016-01-06;23,176;23,422;23,373;23,422;23,274;23,274;23,333;2311890,213606488;53943000;6;
2016-01-05;23,077;23,324;23,225;23,324;23,225;23,324;23,229;1056861,3453984258;24549992,95;2;
2016-01-04;23,028;23,373;23,176;23,176;23,028;23,176;23,155;7249249,142674046;167855953;10;
2015-12-30;23,176;23,472;23,274;23,373;23,225;23,225;23,297;1532948,4914916355;35712425,8;4;
2015-12-29;23,274;23,57;23,324;23,422;23,324;23,324;23,404;6269534,965311507;146533423,2;12;
2015-12-28;23,324;23,472;23,324;23,324;23,324;23,324;23,324;9526,40726176884;222191,75;1;
