REGINN;Reginn Fasteignafélag;realestate;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-01-02;15,624;15,773;15,574;15,773;15,574;15,773;15,667;3394124,2817876576;53176786,25;9;
2013-12-30;15,424;15,574;15,174;15,574;15,174;15,524;15,455;21705506,89563984;335547112;29;
2013-12-27;15,075;15,124;14,925;15,075;14,925;15,075;14,963;3180368,461963795;47587500;6;
2013-12-23;14,805;14,975;14,925;14,925;14,925;14,925;14,925;1937270,11194897;28913300;3;
2013-12-20;14,805;14,965;14,326;14,965;14,196;14,965;14,626;10667702,08111292;156024799,1;22;
2013-12-19;14,186;14,276;14,126;14,286;14,126;14,186;14,209;5840260,359486814;82984244,12;7;
2013-12-18;14,136;14,246;;;;14,176;;;;0;
2013-12-17;14,126;14,256;14,176;14,176;14,176;14,176;14,176;4407439,758312031;62480000;4;
2013-12-16;14,226;14,366;14,226;14,296;14,226;14,256;14,28;1967442,0421671783;28095224,25;4;
2013-12-13;14,226;14,326;14,216;14,276;14,216;14,276;14,239;1502536,2812427377;21395000;3;
2013-12-12;14,056;14,216;14,615;14,615;14,076;14,076;14,375;5766021,043521465;82843231,3;14;
2013-12-11;14,495;14,675;14,495;14,495;14,495;14,495;14,495;8368,125395667888;121300,08;1;
2013-12-10;14,525;14,675;14,585;14,585;14,585;14,585;14,585;500845,4270809126;7305000;2;
2013-12-09;14,426;14,585;14,525;14,525;14,525;14,525;14,525;701183,5979132777;10185000;1;
2013-12-06;14,426;14,575;14,396;14,575;14,396;14,575;14,486;5657568,976432217;81953307,05;9;
2013-12-05;14,276;14,396;14,306;14,326;14,276;14,276;14,307;3278712,466643695;46908057,71;10;
2013-12-04;14,176;14,256;14,176;14,256;14,176;14,256;14,181;1071809,213953153;15199600;2;
2013-12-03;14,116;14,266;14,176;14,176;14,176;14,176;14,176;123800,9760475683;1755006,4;1;
2013-12-02;14,076;14,266;14,266;14,266;14,266;14,266;14,266;42071,015874796656;600180;1;
2013-11-29;14,126;14,266;14,146;14,266;14,146;14,176;14,174;11296386,300074525;160116915,65;16;
2013-11-28;13,857;13,976;13,926;13,966;13,877;13,966;13,921;11066484,225372428;154061865,8;9;
2013-11-27;13,837;13,926;13,837;13,926;13,827;13,916;13,898;1883347,0898877305;26174414,79;4;
2013-11-26;13,847;13,936;13,956;13,956;13,877;13,892;13,885;2385833,2865877603;33126705,72;5;
2013-11-25;13,827;13,956;13,926;13,946;13,926;13,946;13,931;4006763,4166473006;55820000;2;
2013-11-22;13,827;13,946;13,897;13,936;13,897;13,897;13,911;3066151,664008847;42653785,92;4;
2013-11-21;13,787;13,916;;;;13,857;;;;0;
2013-11-20;13,787;13,877;13,857;13,906;13,857;13,857;13,861;5509299,697890039;76365000;5;
2013-11-19;13,777;13,926;13,877;13,877;13,777;13,777;13,873;517172,98800375033;7174940;2;
2013-11-18;13,877;13,966;13,897;13,906;13,777;13,897;13,896;7508696,679995833;104326755,8;13;
2013-11-15;13,577;13,657;13,602;13,602;13,602;13,602;13,602;400676,34166473004;5450000;1;
2013-11-14;13,577;13,727;13,637;13,767;13,637;13,637;13,653;6755305,956454495;92231349,16;6;
2013-11-13;13,637;13,727;13,677;13,677;13,637;13,637;13,677;21043020,618804544;287802630;9;
2013-11-12;13,627;13,677;13,677;13,677;13,677;13,677;13,677;1141927,5737444807;15618000;3;
2013-11-11;13,577;13,677;13,657;13,657;13,627;13,627;13,63;561924,528604284;7659151,68;2;
2013-11-08;13,627;13,767;;;;13,677;;;;0;
2013-11-07;13,577;13,767;13,777;13,777;13,677;13,677;13,71;2606849,3617225876;35738796,2;5;
2013-11-06;13,727;13,777;13,827;13,827;13,827;13,827;13,827;7112,005064548959;98335;1;
2013-11-05;13,727;13,827;13,727;13,777;13,727;13,737;13,771;4260118,079317888;58666846,25;5;
2013-11-04;13,727;13,767;13,727;13,777;13,727;13,727;13,734;554351,7457468207;7613418,8;4;
2013-11-01;13,727;13,877;13,727;13,727;13,727;13,727;13,727;23108,006314659145;317198,75;1;
2013-10-31;13,727;13,827;13,777;13,777;13,727;13,727;13,767;619436,6089959852;8527876,25;4;
2013-10-30;13,587;13,777;13,677;13,677;13,677;13,677;13,677;500845,4270809126;6850000;1;
2013-10-29;13,587;13,777;13,677;13,727;13,587;13,587;13,676;1287999,1425526288;17614626,82;5;
2013-10-28;13,677;13,777;13,677;13,727;13,677;13,727;13,69;1410161,3523627885;19304599,7;3;
2013-10-25;13,627;13,777;13,757;13,757;13,757;13,757;13,757;220371,98791560155;3031600;1;
2013-10-24;13,627;13,777;13,527;13,727;13,527;13,727;13,711;3257316,349998798;44662227,89;5;
2013-10-23;13,527;13,657;13,457;13,557;13,457;13,557;13,484;4607777,9291443955;62130000;6;
2013-10-22;13,387;13,507;13,288;13,457;13,288;13,457;13,419;1100654,905480451;14769988,07;4;
2013-10-21;13,288;13,457;13,377;13,377;13,377;13,377;13,377;500845,4270809126;6700000;1;
2013-10-18;13,288;13,457;13,288;13,288;13,288;13,288;13,288;244315,40440263165;3246348,93;1;
2013-10-17;13,298;13,377;;;;13,377;;;;0;
2013-10-16;13,327;13,457;13,278;13,377;13,278;13,377;13,341;649787,8418770885;8662034,85;5;
2013-10-15;13,278;13,327;13,377;13,377;13,278;13,278;13,363;197724,75939385683;2641450,3;3;
2013-10-14;13,278;13,457;13,337;13,337;13,278;13,278;13,326;320804,51802642864;4275066,82;2;
2013-10-11;13,278;13,467;13,417;13,417;13,377;13,407;13,404;3497373,5665803877;46880442,1;3;
2013-10-10;13,377;13,557;13,178;13,417;13,178;13,417;13,30;6548934,601607514;87099016;9;
2013-10-09;13,078;13,258;;;;13,128;;;;0;
2013-10-08;13,078;13,258;13,128;13,168;13,128;13,128;13,148;6928556,403208616;75422523,451;4;
2013-10-07;13,078;13,268;13,238;13,238;13,238;13,238;13,238;1001690,8541618251;13260000;2;
2013-10-04;13,238;13,427;13,587;13,587;13,238;13,427;13,482;2700136,8309706785;36402484,39;8;
2013-10-03;13,587;13,767;13,702;13,702;13,587;13,587;13,701;2013543,862039122;27588073,45;2;
2013-10-02;13,637;13,727;13,727;13,727;13,727;13,727;13,727;5619643,959002797;77219672,5;4;
2013-10-01;13,607;13,727;;;;13,697;;;;0;
2013-09-30;13,697;13,767;13,697;13,697;13,697;13,697;13,697;504852,1904975599;6914880;3;
2013-09-27;13,797;13,847;13,807;13,807;13,807;13,807;13,807;500845,4270809126;6915000;1;
2013-09-26;13,707;13,797;;;;13,787;;;;0;
2013-09-25;13,717;13,877;13,747;13,787;13,717;13,787;13,749;5564392,694868939;76504200;4;
2013-09-24;13,697;13,857;13,877;13,877;13,777;13,777;13,782;1061792,3054115346;14634000;3;
2013-09-23;13,697;13,877;13,847;13,847;13,697;13,697;13,844;3050148,6509227576;42227400;4;
2013-09-20;13,857;14,016;13,926;13,926;13,926;13,926;13,926;1001690,8541618251;13950000;1;
2013-09-19;13,857;14,016;;;;13,877;;;;0;
2013-09-18;13,877;13,976;13,956;13,956;13,877;13,877;13,916;2003381,7083236503;27880000;3;
2013-09-17;13,787;13,946;14,076;14,076;13,787;13,787;13,921;1044950,8770805119;14546696,16;4;
2013-09-16;14,036;14,086;14,066;14,066;14,036;14,036;14,063;1120183,87037319;15753199,58;3;
2013-09-13;13,926;14,056;13,722;14,026;13,717;14,026;13,764;56705022,077266425;780508756;18;
2013-09-12;13,697;13,817;13,637;13,777;13,637;13,687;13,711;74275,37683609934;1018389;3;
2013-09-11;13,637;13,817;13,627;13,817;13,627;13,817;13,773;622050,0204344934;8567328,08;5;
2013-09-10;13,677;13,807;;;;13,787;;;;0;
2013-09-09;13,677;13,777;13,777;13,787;13,777;13,787;13,783;2504227,135404563;34515000;3;
2013-09-06;13,827;13,926;13,926;13,926;13,926;13,926;13,926;3505917,989566388;48825000;8;
2013-09-05;13,976;14,076;13,926;14,026;13,777;13,976;13,919;10373899,141751276;144394432;15;
2013-09-04;13,677;13,777;13,707;13,777;13,707;13,727;13,752;7539727,059276058;103687600;11;
